app_id,customer_id,app_dt,snapshot_month,bureau_score,utilization_ratio,credit_usage_ratio,payment_income_ratio,balance_to_limit,monthly_spend,segment,region,employment_type,delinquent_last_6m,open_trades,channel_code,promo_flag,noise_feature,target
A013430001,134,2022-06-01,2022-06,657.0,0.511,0.467,0.219,0.486,1536.54,SME,North,Contract,0,3,Online,0,0.5801,0
A038330002,383,2022-06-01,2022-06,626.0,0.783,0.708,0.231,0.744,2093.93,Retail,North,Self-Employed,0,3,Partner,0,0.9735,1
A041430003,414,2022-06-01,2022-06,630.0,0.712,0.634,0.257,0.676,1722.9,Retail,East,Salaried,0,6,Branch,0,0.4711,0
A002530004,25,2022-06-01,2022-06,625.0,0.294,0.279,0.263,0.308,1210.51,Retail,South,Contract,0,6,Online,0,0.2317,0
A059330005,593,2022-06-01,2022-06,651.0,0.552,0.495,0.279,0.528,1370.13,Retail,East,Salaried,0,3,Online,0,0.4008,0
A025130006,251,2022-06-01,2022-06,657.0,0.864,0.783,0.271,0.817,1868.82,Retail,North,Self-Employed,0,2,Partner,0,0.914,0
A023330007,233,2022-06-01,2022-06,614.0,0.899,0.829,0.228,0.854,1859.51,Retail,East,Self-Employed,0,4,Branch,0,0.1667,0
A042930008,429,2022-06-01,2022-06,639.0,0.593,0.524,0.336,0.562,1051.62,SME,East,Salaried,0,2,Branch,0,0.6862,0
A020530009,205,2022-06-01,2022-06,625.0,0.492,0.457,0.249,0.456,1396.9,Retail,South,Self-Employed,0,3,Partner,1,0.7485,1
A045130010,451,2022-06-01,2022-06,697.0,0.869,0.801,0.265,0.85,1764.07,Retail,East,Salaried,1,6,Branch,0,0.2768,0
A016830011,168,2022-06-01,2022-06,639.0,0.403,0.383,0.281,0.375,1688.35,Retail,South,Self-Employed,0,4,Branch,1,0.1994,0
A032830012,328,2022-06-01,2022-06,663.0,0.312,0.28,0.196,0.313,1835.7,Retail,West,Salaried,0,6,Partner,0,0.7755,0
A018930013,189,2022-06-01,2022-06,645.0,0.657,0.601,0.186,0.608,1634.39,Retail,North,Contract,0,2,Branch,0,0.1293,0
A059330014,593,2022-06-01,2022-06,653.0,0.849,0.758,0.196,0.8,1744.32,Retail,East,Salaried,0,7,Branch,0,0.8773,0
A038330015,383,2022-06-01,2022-06,634.0,0.514,0.437,0.198,0.479,1920.76,Retail,North,Self-Employed,0,5,Online,0,0.5165,0
A037830016,378,2022-06-01,2022-06,625.0,0.751,0.629,0.183,0.741,1242.24,Retail,North,Salaried,1,7,Branch,0,0.1678,1
