app_id,customer_id,app_dt,snapshot_month,bureau_score,utilization_ratio,credit_usage_ratio,payment_income_ratio,balance_to_limit,monthly_spend,segment,region,employment_type,delinquent_last_6m,open_trades,channel_code,promo_flag,noise_feature,target
A028546001,285,2023-10-01,2023-10,615.0,0.918,0.827,0.233,0.885,2036.07,SME,North,Salaried,0,7,Partner,1,0.7521,1
A030746002,307,2023-10-01,2023-10,612.0,0.673,0.609,0.239,0.634,1697.52,Retail,North,Salaried,0,4,Branch,0,0.3111,0
A013946003,139,2023-10-01,2023-10,688.0,0.207,0.177,0.215,0.207,1625.39,Retail,South,Salaried,0,6,Online,1,0.3315,0
A059346004,593,2023-10-01,2023-10,640.0,0.257,0.246,0.217,0.223,1354.79,Corporate,North,Contract,0,5,Online,1,0.8795,1
A011446005,114,2023-10-01,2023-10,616.0,0.551,0.5,0.309,0.512,1917.18,Retail,South,Self-Employed,0,6,Online,1,0.913,1
A041946006,419,2023-10-01,2023-10,636.0,0.749,0.688,0.206,0.724,1467.4,Retail,South,Salaried,0,6,Branch,0,0.6673,0
A040846007,408,2023-10-01,2023-10,649.0,0.987,0.883,0.212,0.918,2339.92,Retail,South,Self-Employed,1,3,Branch,1,0.1785,1
A046346008,463,2023-10-01,2023-10,647.0,0.152,0.103,0.298,0.153,1205.72,SME,North,Contract,0,3,Partner,0,0.7767,0
A037146009,371,2023-10-01,2023-10,615.0,0.835,0.736,0.217,0.795,1998.13,Retail,South,Salaried,1,7,Online,0,0.1341,1
A019146010,191,2023-10-01,2023-10,657.0,0.395,0.369,0.193,0.383,1858.66,Retail,South,Contract,0,6,Online,0,0.52,0
A059646011,596,2023-10-01,2023-10,647.0,0.31,0.278,0.277,0.314,1048.48,SME,South,Salaried,0,5,Online,0,0.0598,0
A051146012,511,2023-10-01,2023-10,614.0,0.48,0.427,0.293,0.444,1442.16,SME,West,Self-Employed,0,3,Branch,0,0.6605,0
A035046013,350,2023-10-01,2023-10,626.0,0.653,0.547,0.232,0.622,2124.49,Retail,East,Contract,0,4,Branch,1,0.3892,1
A023446014,234,2023-10-01,2023-10,645.0,0.393,0.336,0.264,0.364,1652.85,SME,West,Salaried,0,6,Online,1,0.8287,0
A037446015,374,2023-10-01,2023-10,694.0,0.613,0.578,0.288,0.59,1825.97,Retail,West,Salaried,0,5,Online,0,0.5218,0
A004646016,46,2023-10-01,2023-10,704.0,0.778,0.681,0.312,0.755,1890.22,Retail,North,Self-Employed,0,2,Online,0,0.1176,0
A013246017,132,2023-10-01,2023-10,611.0,1.0,0.931,0.286,0.924,2431.28,Retail,West,Salaried,1,2,Branch,0,0.5882,1
A044146018,441,2023-10-01,2023-10,753.0,0.688,0.615,0.232,0.651,2124.42,Retail,West,Salaried,0,6,Online,1,0.3178,0
A018446019,184,2023-10-01,2023-10,581.0,0.936,0.825,0.199,0.888,2142.7,Retail,West,Self-Employed,1,0,Partner,0,0.4486,1
A055146020,551,2023-10-01,2023-10,599.0,0.621,0.576,0.305,0.589,1990.99,SME,South,Contract,0,4,Partner,0,0.2675,1
A016046021,160,2023-10-01,2023-10,666.0,0.946,0.829,0.264,0.885,1584.49,Retail,South,Self-Employed,0,5,Branch,0,0.9729,0
A040946022,409,2023-10-01,2023-10,624.0,0.868,0.768,0.233,0.821,2081.89,Retail,West,Contract,1,2,Online,0,0.5382,1
A024746023,247,2023-10-01,2023-10,637.0,0.643,0.572,0.236,0.624,1587.87,Retail,South,Salaried,0,3,Branch,0,0.6006,0
A029746024,297,2023-10-01,2023-10,607.0,0.421,0.413,0.241,0.389,1506.68,Corporate,West,Self-Employed,0,7,Online,1,0.5159,1
A008646025,86,2023-10-01,2023-10,682.0,0.837,0.758,0.167,0.82,2162.49,Retail,North,Salaried,0,5,Online,0,0.385,0
A013346026,133,2023-10-01,2023-10,631.0,0.697,0.643,0.204,0.651,1676.36,Corporate,North,Salaried,0,3,Online,0,0.7731,0
