app_id,customer_id,app_dt,snapshot_month,bureau_score,utilization_ratio,credit_usage_ratio,payment_income_ratio,balance_to_limit,monthly_spend,segment,region,employment_type,delinquent_last_6m,open_trades,channel_code,promo_flag,noise_feature,target
A049847001,498,2023-11-01,2023-11,605.0,0.944,0.818,0.248,0.887,2012.01,Retail,West,Salaried,0,5,Partner,0,0.8623,1
A042047002,420,2023-11-01,2023-11,641.0,0.669,0.605,0.164,0.641,1664.78,Retail,West,Salaried,0,1,Branch,0,0.8397,0
A012347003,123,2023-11-01,2023-11,645.0,0.615,0.555,0.236,0.555,1546.86,Corporate,West,Salaried,1,3,Branch,1,0.2976,1
A004547004,45,2023-11-01,2023-11,674.0,0.821,0.756,0.269,0.759,1690.48,Retail,South,Salaried,0,5,Online,1,0.8065,0
A009247005,92,2023-11-01,2023-11,659.0,1.0,0.914,0.219,0.947,1748.09,Retail,North,Salaried,1,5,Online,0,0.7046,0
A052047006,520,2023-11-01,2023-11,630.0,0.764,0.661,0.204,0.731,2053.42,Retail,North,Contract,0,4,Partner,0,0.2355,1
A014647007,146,2023-11-01,2023-11,634.0,0.648,0.591,0.33,0.624,1443.72,Retail,South,Salaried,0,4,Online,1,0.5716,1
A006547008,65,2023-11-01,2023-11,634.0,0.552,0.483,0.303,0.519,2003.22,SME,East,Salaried,0,4,Online,0,0.3719,0
A029447009,294,2023-11-01,2023-11,626.0,0.452,0.41,0.246,0.438,1453.03,Retail,East,Salaried,0,6,Online,0,0.6779,0
A057747010,577,2023-11-01,2023-11,652.0,0.439,0.421,0.262,0.415,1492.4,Retail,East,Salaried,0,6,Online,0,0.1401,0
A046047011,460,2023-11-01,2023-11,643.0,0.531,0.452,0.218,0.494,1353.06,Corporate,East,Salaried,0,4,Online,1,0.337,1
A017447012,174,2023-11-01,2023-11,577.0,0.471,0.416,0.257,0.417,1760.32,Retail,West,Self-Employed,0,6,Partner,0,0.6905,1
A024647013,246,2023-11-01,2023-11,703.0,0.698,0.597,0.295,0.652,2250.64,Retail,South,Salaried,0,1,Online,1,0.1343,0
A026247014,262,2023-11-01,2023-11,628.0,0.272,0.241,0.26,0.248,1143.77,Retail,East,Salaried,0,2,Online,0,0.8934,0
A017647015,176,2023-11-01,2023-11,639.0,0.582,0.541,0.23,0.572,1489.07,Retail,East,Self-Employed,0,5,Online,0,0.7986,0
A035747016,357,2023-11-01,2023-11,608.0,0.648,0.562,0.253,0.619,2069.74,Retail,North,Contract,0,3,Online,0,0.3232,0
A024847017,248,2023-11-01,2023-11,596.0,0.961,0.858,0.262,0.889,1760.42,SME,North,Salaried,1,4,Online,0,0.1648,1
A056447018,564,2023-11-01,2023-11,621.0,0.366,0.322,0.401,0.377,1554.27,SME,North,Contract,0,2,Branch,1,0.907,1
A047547019,475,2023-11-01,2023-11,650.0,0.687,0.597,0.282,0.631,2013.45,Retail,North,Self-Employed,0,2,Online,1,0.018,0
A038947020,389,2023-11-01,2023-11,648.0,0.569,0.542,0.214,0.542,1746.5,Retail,North,Self-Employed,0,2,Branch,0,0.4392,0
A013847021,138,2023-11-01,2023-11,668.0,0.646,0.579,0.326,0.617,1861.98,SME,West,Self-Employed,1,5,Online,0,0.2739,0
A059747022,597,2023-11-01,2023-11,612.0,0.708,0.633,0.279,0.671,1770.58,SME,West,Contract,1,5,Online,1,0.1627,1
A006747023,67,2023-11-01,2023-11,630.0,1.0,0.915,0.242,0.959,2100.73,Retail,North,Salaried,1,5,Online,1,0.7626,1
A047947024,479,2023-11-01,2023-11,675.0,0.843,0.752,0.254,0.812,1963.9,Retail,East,Salaried,0,4,Online,1,0.8833,0
A028647025,286,2023-11-01,2023-11,688.0,0.794,0.712,0.245,0.738,1915.24,Retail,West,Salaried,1,5,Online,0,0.7155,0
A042847026,428,2023-11-01,2023-11,637.0,0.678,0.606,0.2,0.654,1871.29,Retail,North,Contract,0,7,Partner,0,0.4945,0
A049547027,495,2023-11-01,2023-11,654.0,0.894,0.819,0.336,0.859,2149.56,SME,West,Salaried,0,5,Online,0,0.6929,0
A039747028,397,2023-11-01,2023-11,654.0,0.598,0.564,0.22,0.553,1764.34,Retail,North,Salaried,0,4,Online,1,0.3675,0
A004847029,48,2023-11-01,2023-11,661.0,0.435,0.369,0.242,0.4,1688.81,Retail,East,Contract,0,7,Online,1,0.9742,0
A052847030,528,2023-11-01,2023-11,611.0,0.172,0.162,0.307,0.178,1092.36,Retail,West,Salaried,0,4,Online,0,0.371,0
A014547031,145,2023-11-01,2023-11,588.0,0.263,0.223,0.225,0.235,1274.38,Retail,North,Salaried,0,4,Online,0,0.2389,0
A047947032,479,2023-11-01,2023-11,681.0,0.701,0.658,0.208,0.677,1992.28,Retail,East,Salaried,0,6,Online,1,0.4032,0
A058747033,587,2023-11-01,2023-11,702.0,1.0,0.898,0.225,0.959,1631.18,Corporate,South,Contract,1,7,Online,1,0.6192,1
A013747034,137,2023-11-01,2023-11,635.0,0.698,0.64,0.249,0.672,1728.5,Retail,West,Self-Employed,1,3,Partner,0,0.5849,1
A052347035,523,2023-11-01,2023-11,626.0,0.462,0.437,0.281,0.429,1363.23,SME,East,Salaried,0,3,Partner,1,0.8837,1
A057447036,574,2023-11-01,2023-11,635.0,0.534,0.526,0.239,0.473,1667.82,Retail,West,Salaried,0,7,Branch,1,0.4605,0
A001247037,12,2023-11-01,2023-11,668.0,0.31,0.28,0.27,0.322,1391.74,Retail,North,Salaried,0,4,Online,0,0.0072,0
A051747038,517,2023-11-01,2023-11,648.0,0.611,0.564,0.261,0.569,1645.48,Retail,South,Salaried,0,4,Online,0,0.555,0
A042547039,425,2023-11-01,2023-11,706.0,0.463,0.456,0.256,0.454,1491.1,SME,North,Self-Employed,0,4,Online,1,0.2629,0
A034847040,348,2023-11-01,2023-11,649.0,0.496,0.467,0.271,0.483,1264.35,Retail,East,Self-Employed,0,3,Online,1,0.6536,0
A048247041,482,2023-11-01,2023-11,662.0,0.396,0.358,0.318,0.38,1821.94,SME,West,Self-Employed,0,4,Online,0,0.3055,0
A019347042,193,2023-11-01,2023-11,640.0,0.929,0.838,0.247,0.904,2046.71,Retail,North,Salaried,1,3,Online,1,0.3248,1
A030747043,307,2023-11-01,2023-11,647.0,0.8,0.717,0.229,0.77,1680.7,Corporate,West,Salaried,0,2,Partner,1,0.9831,1
A028247044,282,2023-11-01,2023-11,605.0,0.658,0.615,0.236,0.633,1469.45,Retail,North,Salaried,1,6,Online,0,0.5817,1
A019247045,192,2023-11-01,2023-11,687.0,0.93,0.855,0.282,0.877,1973.54,SME,North,Self-Employed,0,4,Partner,0,0.9409,0
A000547046,5,2023-11-01,2023-11,685.0,0.459,0.459,0.288,0.449,1704.68,SME,West,Salaried,0,5,Online,0,0.7108,0
A036047047,360,2023-11-01,2023-11,680.0,0.541,0.499,0.182,0.484,1364.11,Retail,North,Salaried,0,5,Online,0,0.0192,0
A017547048,175,2023-11-01,2023-11,683.0,0.822,0.747,0.19,0.764,1532.05,Retail,West,Self-Employed,1,7,Online,0,0.0718,0
A055047049,550,2023-11-01,2023-11,634.0,0.807,0.708,0.258,0.779,1619.68,Retail,North,Self-Employed,1,1,Branch,0,0.7529,1
A001647050,16,2023-11-01,2023-11,623.0,0.517,0.467,0.239,0.487,2137.64,Retail,North,Self-Employed,0,7,Online,0,0.0272,0
A025247051,252,2023-11-01,2023-11,692.0,0.814,0.748,0.281,0.738,1579.48,Retail,South,Salaried,0,6,Online,0,0.1469,0
A033347052,333,2023-11-01,2023-11,675.0,0.629,0.568,0.295,0.608,1490.11,Retail,North,Salaried,0,5,Partner,0,0.8632,0
A039247053,392,2023-11-01,2023-11,648.0,0.409,0.367,0.287,0.385,1341.79,Retail,West,Salaried,0,4,Branch,0,0.2729,0
A039047054,390,2023-11-01,2023-11,686.0,0.884,0.813,0.263,0.801,2043.22,Corporate,North,Contract,0,2,Online,0,0.4536,0
A023747055,237,2023-11-01,2023-11,639.0,0.734,0.699,0.195,0.694,1728.7,Retail,South,Salaried,0,8,Partner,1,0.4593,1
A052747056,527,2023-11-01,2023-11,664.0,0.84,0.776,0.31,0.816,2027.05,Retail,West,Salaried,1,3,Partner,1,0.9065,1
A045047057,450,2023-11-01,2023-11,687.0,0.176,0.148,0.288,0.179,1401.18,SME,North,Salaried,0,5,Online,0,0.6568,0
A028347058,283,2023-11-01,2023-11,663.0,0.888,0.832,0.176,0.831,1720.99,Retail,East,Salaried,0,2,Online,1,0.1298,0
A028947059,289,2023-11-01,2023-11,662.0,0.322,0.289,0.129,0.283,1564.35,Retail,North,Salaried,0,5,Online,0,0.6435,0
A027747060,277,2023-11-01,2023-11,612.0,0.638,0.556,0.237,0.601,1285.52,Retail,South,Contract,0,6,Online,1,0.6607,1
A017347061,173,2023-11-01,2023-11,650.0,0.478,0.381,0.324,0.437,1628.83,SME,North,Self-Employed,0,7,Online,0,0.0858,0
A032347062,323,2023-11-01,2023-11,590.0,0.339,0.316,0.237,0.31,1461.75,Retail,West,Salaried,1,6,Branch,1,0.9746,1
A023547063,235,2023-11-01,2023-11,599.0,0.674,0.628,0.267,0.646,1831.94,Retail,North,Salaried,0,4,Online,1,0.1409,1
A024147064,241,2023-11-01,2023-11,629.0,0.421,0.376,0.194,0.388,1634.61,Retail,East,Self-Employed,0,5,Online,1,0.153,0
A009447065,94,2023-11-01,2023-11,629.0,0.364,0.286,0.198,0.349,1510.28,Retail,West,Self-Employed,0,7,Online,1,0.1544,0
