variable,description,category
app_id,Unique application identifier,Metadata
app_dt,Application date,Metadata
target,Default flag (1 = default),Target
region,Region of the applicant,Demographic
segment,Customer segment,Demographic
credit_score,Credit bureau score,Risk
annual_income,Annual declared income,Financial
loan_amount,Requested loan amount,Financial
dti,Debt-to-income ratio,Financial
open_trades,Number of open trades,Risk
employment_length,Employment length in years,Demographic
noise_uniform,Synthetic noise feature,Diagnostic
noise_flag,Binary noise indicator,Diagnostic
