app_id,customer_id,app_dt,snapshot_month,bureau_score,utilization_ratio,credit_usage_ratio,payment_income_ratio,balance_to_limit,monthly_spend,segment,region,employment_type,delinquent_last_6m,open_trades,channel_code,promo_flag,noise_feature,target
A019630001,196,2022-06-01,2022-06,597.0,0.247,0.241,0.276,0.232,1333.11,SME,North,Salaried,0,5,Online,0,0.7253,0
A048630002,486,2022-06-01,2022-06,677.0,0.262,0.222,0.24,0.248,1426.33,Retail,North,Salaried,0,4,Online,0,0.7254,0
A021230003,212,2022-06-01,2022-06,700.0,0.795,0.696,0.227,0.789,1837.16,Retail,West,Salaried,1,3,Branch,0,0.3452,0
A054530004,545,2022-06-01,2022-06,648.0,0.674,0.57,0.239,0.661,1745.45,Corporate,North,Salaried,0,1,Branch,0,0.8628,0
A041330005,413,2022-06-01,2022-06,677.0,0.342,0.296,0.252,0.33,1602.57,Corporate,North,Salaried,0,4,Branch,0,0.7291,0
A003730006,37,2022-06-01,2022-06,678.0,0.295,0.26,0.276,0.285,1686.69,Retail,West,Salaried,0,7,Online,0,0.8319,0
A030430007,304,2022-06-01,2022-06,666.0,0.565,0.537,0.187,0.555,1684.13,Retail,North,Salaried,0,5,Online,0,0.8116,0
A024730008,247,2022-06-01,2022-06,638.0,1.0,0.953,0.313,0.956,2118.44,SME,North,Self-Employed,1,0,Branch,0,0.4805,1
A002530009,25,2022-06-01,2022-06,590.0,0.632,0.562,0.321,0.607,1783.3,Corporate,South,Salaried,0,5,Partner,0,0.2148,1
A038830010,388,2022-06-01,2022-06,578.0,0.997,0.888,0.316,0.944,1716.07,Corporate,South,Salaried,1,8,Online,0,0.517,1
A037130011,371,2022-06-01,2022-06,633.0,0.743,0.67,0.251,0.704,1627.57,SME,East,Self-Employed,0,4,Online,0,0.4025,0
A044630012,446,2022-06-01,2022-06,587.0,0.669,0.631,0.222,0.639,1748.52,Corporate,North,Salaried,0,6,Branch,0,0.7964,1
A058230013,582,2022-06-01,2022-06,656.0,0.174,0.18,0.212,0.127,1399.27,Retail,East,Salaried,0,6,Partner,0,0.434,0
A031330014,313,2022-06-01,2022-06,583.0,0.411,0.336,0.336,0.395,1529.29,SME,North,Contract,0,5,Branch,0,0.955,1
A040930015,409,2022-06-01,2022-06,610.0,0.4,0.345,0.185,0.351,1623.52,Retail,North,Contract,0,5,Branch,0,0.0938,0
A032230016,322,2022-06-01,2022-06,633.0,0.953,0.84,0.267,0.906,2545.73,Corporate,South,Salaried,0,0,Branch,0,0.9334,1
A019630017,196,2022-06-01,2022-06,595.0,0.72,0.651,0.35,0.68,1792.06,SME,North,Salaried,0,6,Online,0,0.4236,1
A029330018,293,2022-06-01,2022-06,643.0,0.727,0.677,0.239,0.679,1878.61,Retail,North,Self-Employed,0,5,Branch,0,0.1235,0
A039830019,398,2022-06-01,2022-06,620.0,0.635,0.582,0.119,0.591,1585.09,Retail,North,Salaried,1,5,Online,0,0.2643,1
A026430020,264,2022-06-01,2022-06,563.0,0.982,0.88,0.229,0.94,1951.47,SME,North,Self-Employed,0,5,Partner,0,0.5269,1
A017730021,177,2022-06-01,2022-06,622.0,0.485,0.384,0.253,0.44,987.53,Retail,West,Self-Employed,0,5,Online,0,0.8707,0
A005330022,53,2022-06-01,2022-06,688.0,0.458,0.425,0.277,0.439,1738.31,SME,North,Salaried,0,4,Branch,0,0.7039,0
A059230023,592,2022-06-01,2022-06,662.0,0.617,0.566,0.224,0.59,1518.77,Retail,South,Salaried,0,6,Branch,0,0.2219,0
A025330024,253,2022-06-01,2022-06,628.0,0.72,0.653,0.231,0.69,1415.05,Retail,North,Salaried,0,4,Partner,0,0.0334,1
A005230025,52,2022-06-01,2022-06,579.0,0.311,0.304,0.271,0.313,1570.25,Retail,North,Salaried,0,3,Partner,0,0.741,1
A028330026,283,2022-06-01,2022-06,729.0,0.619,0.546,0.292,0.589,2202.21,SME,South,Salaried,0,4,Online,0,0.9794,0
A037430027,374,2022-06-01,2022-06,697.0,0.606,0.558,0.272,0.562,1797.54,Retail,North,Self-Employed,0,2,Online,0,0.1924,0
A026030028,260,2022-06-01,2022-06,641.0,0.797,0.733,0.252,0.768,2058.14,Retail,West,Self-Employed,0,5,Partner,0,0.5787,0
A051430029,514,2022-06-01,2022-06,611.0,0.146,0.125,0.196,0.131,1368.55,SME,West,Self-Employed,0,7,Branch,0,0.337,0
A048230030,482,2022-06-01,2022-06,634.0,0.933,0.821,0.236,0.89,1930.55,Retail,East,Self-Employed,0,6,Branch,0,0.3089,0
A030130031,301,2022-06-01,2022-06,632.0,0.375,0.351,0.271,0.321,1516.87,SME,East,Self-Employed,0,5,Online,0,0.6748,0
A046130032,461,2022-06-01,2022-06,673.0,0.634,0.615,0.275,0.592,1452.32,Retail,North,Self-Employed,0,4,Partner,0,0.2297,0
A045630033,456,2022-06-01,2022-06,725.0,0.785,0.713,0.243,0.759,1443.75,Corporate,South,Self-Employed,0,4,Online,0,0.6556,0
A006330034,63,2022-06-01,2022-06,632.0,0.758,0.691,0.2,0.707,1932.25,SME,North,Salaried,0,5,Branch,0,0.4354,0
A051930035,519,2022-06-01,2022-06,675.0,0.628,0.584,0.338,0.588,1563.2,SME,East,Self-Employed,0,4,Online,0,0.0386,0
A047030036,470,2022-06-01,2022-06,640.0,0.655,0.556,0.251,0.612,2022.09,Corporate,North,Contract,0,5,Partner,0,0.9401,1
A028930037,289,2022-06-01,2022-06,634.0,0.661,0.614,0.226,0.621,1588.38,Corporate,East,Contract,0,4,Branch,0,0.2437,1
A047530038,475,2022-06-01,2022-06,667.0,0.699,0.633,0.297,0.654,1581.77,Retail,East,Salaried,0,4,Online,1,0.9118,0
A021230039,212,2022-06-01,2022-06,700.0,0.843,0.708,0.301,0.814,1924.7,Retail,West,Salaried,1,7,Branch,0,0.1513,0
A032630040,326,2022-06-01,2022-06,642.0,0.366,0.327,0.27,0.358,1839.96,Retail,North,Salaried,1,6,Branch,0,0.1377,0
A056930041,569,2022-06-01,2022-06,687.0,0.621,0.542,0.257,0.575,2051.0,Retail,South,Salaried,0,5,Branch,0,0.4791,0
A057130042,571,2022-06-01,2022-06,690.0,0.279,0.281,0.258,0.266,1580.47,Retail,North,Salaried,0,3,Branch,0,0.8684,0
A004330043,43,2022-06-01,2022-06,653.0,0.923,0.829,0.233,0.879,1678.34,Retail,West,Salaried,1,4,Branch,0,0.547,0
A034430044,344,2022-06-01,2022-06,691.0,1.0,0.914,0.204,0.947,2440.66,Retail,East,Salaried,1,6,Branch,0,0.0982,0
A007730045,77,2022-06-01,2022-06,675.0,0.469,0.407,0.25,0.419,1765.42,Retail,West,Contract,1,5,Online,0,0.1182,0
A023430046,234,2022-06-01,2022-06,676.0,0.798,0.716,0.205,0.774,1843.38,Corporate,East,Salaried,0,4,Branch,0,0.2572,0
A024530047,245,2022-06-01,2022-06,637.0,0.501,0.463,0.286,0.472,1704.91,Retail,North,Salaried,0,2,Online,0,0.0733,0
A055130048,551,2022-06-01,2022-06,620.0,0.224,0.223,0.303,0.208,1319.91,SME,South,Salaried,0,6,Online,0,0.7063,0
