app_id,customer_id,app_dt,snapshot_month,bureau_score,utilization_ratio,credit_usage_ratio,payment_income_ratio,balance_to_limit,monthly_spend,segment,region,employment_type,delinquent_last_6m,open_trades,channel_code,promo_flag,noise_feature,target
A046647001,466,2023-11-01,2023-11,652.0,0.702,0.651,0.18,0.665,1191.25,Retail,East,Salaried,0,4,Online,1,0.9923,0
A037747002,377,2023-11-01,2023-11,671.0,0.178,0.155,0.282,0.175,1220.07,SME,West,Salaried,0,3,Online,0,0.8265,0
A020347003,203,2023-11-01,2023-11,664.0,0.48,0.426,0.211,0.45,1193.72,Corporate,West,Contract,0,4,Online,1,0.6905,0
A052147004,521,2023-11-01,2023-11,667.0,0.314,0.303,0.223,0.307,1325.28,Retail,South,Self-Employed,1,2,Partner,1,0.4275,1
A007147005,71,2023-11-01,2023-11,594.0,0.886,0.822,0.287,0.832,2161.85,Retail,East,Salaried,1,2,Online,0,0.0636,1
A025147006,251,2023-11-01,2023-11,672.0,0.328,0.265,0.33,0.299,1821.74,SME,West,Self-Employed,0,6,Partner,1,0.0647,0
A021547007,215,2023-11-01,2023-11,601.0,0.47,0.45,0.171,0.41,1627.78,Retail,West,Self-Employed,0,5,Partner,1,0.7429,1
A049447008,494,2023-11-01,2023-11,648.0,0.459,0.442,0.224,0.438,1651.07,Retail,North,Self-Employed,0,3,Online,0,0.8586,0
A017647009,176,2023-11-01,2023-11,669.0,0.331,0.282,0.258,0.293,1623.35,Retail,North,Contract,0,6,Online,1,0.0637,0
A027447010,274,2023-11-01,2023-11,672.0,0.397,0.364,0.245,0.376,1421.67,Retail,North,Salaried,0,5,Branch,0,0.3598,0
A057247011,572,2023-11-01,2023-11,687.0,0.542,0.505,0.299,0.527,1794.97,SME,North,Salaried,0,5,Online,1,0.1186,0
A027647012,276,2023-11-01,2023-11,668.0,0.755,0.644,0.26,0.731,2222.36,Retail,West,Self-Employed,0,4,Online,1,0.3371,0
A056047013,560,2023-11-01,2023-11,688.0,0.965,0.874,0.205,0.923,1676.41,Corporate,North,Self-Employed,1,7,Online,0,0.3145,0
A020247014,202,2023-11-01,2023-11,638.0,0.916,0.854,0.25,0.878,2048.0,Retail,North,Contract,0,3,Online,0,0.5886,0
A057747015,577,2023-11-01,2023-11,613.0,0.834,0.779,0.331,0.77,2265.57,Corporate,South,Self-Employed,0,4,Online,1,0.2746,1
